Category	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
A3SS	ENSBTAG00000006200	SLC25A17	chr5	-	112067754	112067833	112067754	112067815	112086620	112086674
A3SS	ENSBTAG00000010562	CD34	chr16	+	75487015	75489259	75487833	75489259	75486670	75486723
A3SS	ENSBTAG00000054358	NA	chr18	+	47699844	47700020	47699847	47700020	47698660	47698784
A3SS	ENSBTAG00000040076	ILF3	chr7	+	15157974	15158112	15157986	15158112	15157404	15157572
A3SS	ENSBTAG00000012460	ELF5	chr15	-	65019975	65020919	65019975	65020600	65021567	65021763
A3SS	ENSBTAG00000012581	TIMMDC1	chr1	+	64292429	64292607	64292496	64292607	64283717	64283785
A3SS	ENSBTAG00000010177	GOLT1A	chr16	-	1968013	1968105	1968013	1968103	1978093	1978208
A3SS	ENSBTAG00000032538	TPRG1	chr1	-	78139275	78139718	78139275	78139509	78184510	78184743
A3SS	ENSBTAG00000010871	NA	chr7	+	51713630	51713882	51713681	51713882	51712455	51712632
A3SS	ENSBTAG00000034925	KHDC3L	chr9	+	12753490	12754308	12753936	12754308	12753065	12753332
A3SS	ENSBTAG00000049566	DNAH6	chr11	-	50237983	50238135	50237983	50238130	50239206	50239295
A3SS	ENSBTAG00000049566	DNAH6	chr11	-	50237983	50238135	50237983	50238130	50243352	50243513
A3SS	ENSBTAG00000049566	DNAH6	chr11	-	50378752	50378908	50378752	50378902	50378993	50379119
A3SS	ENSBTAG00000018224	GLP1R	chr23	+	12934173	12934392	12934238	12934392	12929853	12929972
A3SS	ENSBTAG00000006212	GTF2IRD1	chr25	-	32942804	32942906	32942804	32942861	32943075	32943125
A3SS	ENSBTAG00000005048	DHRS7C	chr19	-	28968226	28968386	28968226	28968380	28968588	28968734
A3SS	ENSBTAG00000045905	PCDH15	chr26	+	5272449	5272543	5272469	5272543	5263635	5263715
A3SS	ENSBTAG00000045905	PCDH15	chr26	+	5453850	5454017	5453889	5454017	5411559	5411700
A3SS	ENSBTAG00000012361	ARHGEF11	chr3	+	13903311	13903411	13903314	13903411	13901841	13901865
A3SS	ENSBTAG00000012361	ARHGEF11	chr3	+	13903311	13903411	13903314	13903411	13902858	13903003
A3SS	ENSBTAG00000012361	ARHGEF11	chr3	+	13907156	13907310	13907183	13907310	13903311	13903411
A3SS	ENSBTAG00000052950	SYNDIG1L	chr10	-	85714654	85715491	85714654	85715151	85768310	85768852
A3SS	ENSBTAG00000010777	CARS1	chr29	+	48610710	48611368	48611300	48611368	48605199	48605268
A3SS	ENSBTAG00000010777	CARS1	chr29	+	48610710	48611368	48611300	48611368	48605554	48605636
A3SS	ENSBTAG00000002559	MIOX	chr5	+	119795391	119795593	119795543	119795593	119795183	119795293
A3SS	ENSBTAG00000004193	VEZF1	chr19	-	8781293	8781446	8781293	8781443	8782602	8782786
A3SS	ENSBTAG00000018216	SKA1	chr24	+	49980756	49980951	49980856	49980951	49963942	49964790
A3SS	ENSBTAG00000018216	SKA1	chr24	+	49980756	49980951	49980856	49980951	49978871	49979539
A3SS	ENSBTAG00000003947	SSBP4	chr7	-	4741778	4741914	4741778	4741886	4742006	4742035
A3SS	ENSBTAG00000005780	LDB1	chr26	-	22783066	22783142	22783066	22783139	22783251	22783296
A3SS	ENSBTAG00000020387	MARF1	chr25	-	14067818	14068008	14067818	14067981	14069297	14069456
A3SS	ENSBTAG00000004333	COPA	chr3	+	9355927	9356041	9355949	9356041	9351113	9351172
A3SS	ENSBTAG00000015710	CD3E	chr15	+	29013230	29015210	29014528	29015210	29012164	29012386
A3SS	ENSBTAG00000006001	STAP2	chr7	+	19758143	19758438	19758368	19758438	19757367	19757468
A3SS	ENSBTAG00000002103	PLCG2	chr18	+	8400809	8400887	8400814	8400887	8399127	8399171
A3SS	ENSBTAG00000003557	CCDC117	chr17	+	68043637	68043862	68043716	68043862	68039414	68039468
A3SS	ENSBTAG00000030180	SHANK3	chr5	+	119988907	119989038	119988909	119989038	119981306	119981559
A3SS	ENSBTAG00000021668	METTL4	chr24	-	36839533	36839628	36839533	36839625	36840008	36840115
A3SS	ENSBTAG00000021668	METTL4	chr24	-	36839533	36839628	36839533	36839625	36842490	36842665
A3SS	ENSBTAG00000018991	TSGA10	chr11	-	4269639	4270438	4269639	4269855	4281291	4281420
A3SS	ENSBTAG00000018991	TSGA10	chr11	-	4269639	4270438	4269639	4269855	4296586	4296700
A3SS	ENSBTAG00000032709	CMTM5	chr10	-	21544612	21545001	21544612	21544697	21545428	21545722
A3SS	ENSBTAG00000021156	TBC1D31	chr14	-	16643306	16643450	16643306	16643447	16645985	16646078
A3SS	ENSBTAG00000018499	ANXA8L1	chr28	-	41964972	41965081	41964972	41965063	41970094	41970260
A3SS	ENSBTAG00000026657	IFT27	chr5	-	75150882	75150962	75150882	75150959	75158117	75158505
A3SS	ENSBTAG00000007117	CTC1	chr19	-	27852910	27853776	27852910	27853495	27853871	27854037
A3SS	ENSBTAG00000020238	RIMS1	chr9	+	11355892	11356145	11355919	11356145	11202257	11202338
A3SS	ENSBTAG00000020238	RIMS1	chr9	+	11535880	11536037	11535883	11536037	11527881	11527994
A3SS	ENSBTAG00000020238	RIMS1	chr9	+	11535880	11536037	11535883	11536037	11531129	11531283
A3SS	ENSBTAG00000020238	RIMS1	chr9	+	11535880	11536037	11535883	11536037	11532421	11532493
A3SS	ENSBTAG00000019972	TEPSIN	chr19	+	51488286	51488559	51488487	51488559	51488066	51488134
A3SS	ENSBTAG00000013636	DGKZ	chr15	+	76363428	76363506	76363431	76363506	76363066	76363162
A3SS	ENSBTAG00000004653	ADGRA3	chr6	-	42015508	42015722	42015508	42015707	42028768	42028972
A3SS	ENSBTAG00000011298	EYA1	chr14	-	34930599	34930737	34930599	34930722	34934464	34934610
A3SS	ENSBTAG00000017755	EWSR1	chr17	+	68578169	68579067	68578679	68579067	68577629	68577727
A3SS	ENSBTAG00000021057	TMEM190	chr18	-	62108458	62108663	62108458	62108494	62109467	62110115
A3SS	ENSBTAG00000004018	DGKA	chr5	-	57353725	57353809	57353725	57353792	57354315	57354436
A3SS	ENSBTAG00000007503	STRC	chr21	-	55340100	55340329	55340100	55340287	55340675	55340827
A3SS	ENSBTAG00000008958	NSMAF	chr14	-	24771380	24771448	24771380	24771414	24775639	24775748
A3SS	ENSBTAG00000008958	NSMAF	chr14	-	24778947	24779079	24778947	24779071	24779825	24779945
A3SS	ENSBTAG00000008958	NSMAF	chr14	-	24781494	24781620	24781494	24781585	24782121	24782201
A3SS	ENSBTAG00000000223	PPM1B	chr11	+	26657670	26657743	26657685	26657743	26657184	26657296
A3SS	ENSBTAG00000011772	PPP1R12B	chr16	-	80144834	80144912	80144834	80144885	80149478	80149583
A3SS	ENSBTAG00000049520	NA	chr13	+	37754511	37754627	37754559	37754627	37753756	37753873
A3SS	ENSBTAG00000049520	NA	chr13	+	37755916	37756032	37755953	37756032	37755233	37755274
A3SS	ENSBTAG00000049520	NA	chr13	+	37755916	37756032	37755953	37756032	37755764	37755834
A3SS	ENSBTAG00000027409	SLC4A11	chr13	+	51985947	51986307	51986243	51986307	51985672	51985868
A3SS	ENSBTAG00000007567	TMX3	chr24	+	8462193	8462317	8462267	8462317	8457591	8457646
A3SS	ENSBTAG00000018570	SDR16C5	chr14	-	23428403	23428789	23428403	23428667	23430182	23430308
A3SS	ENSBTAG00000003201	FNTA	chr27	+	37726582	37726754	37726592	37726754	37725448	37725511
A3SS	ENSBTAG00000022489	NA	chr19	-	52123591	52123770	52123591	52123767	52123861	52123951
A3SS	ENSBTAG00000022489	NA	chr19	-	52155689	52155844	52155689	52155835	52157044	52157190
A3SS	ENSBTAG00000022489	NA	chr19	-	52161123	52161271	52161123	52161265	52161819	52161962
A3SS	ENSBTAG00000022489	NA	chr19	-	52161819	52161962	52161819	52161944	52162466	52162586
A3SS	ENSBTAG00000022489	NA	chr19	-	52196779	52196835	52196779	52196826	52197343	52197566
A3SS	ENSBTAG00000002471	CHL1	chr22	-	25984690	25986034	25984690	25985600	25990536	25990609
A3SS	ENSBTAG00000014786	PBRM1	chr22	+	48181577	48181730	48181580	48181730	48176131	48176238
A3SS	ENSBTAG00000014786	PBRM1	chr22	+	48181577	48181730	48181580	48181730	48179456	48179594
A3SS	ENSBTAG00000004211	TNFRSF1A	chr5	+	104031223	104031405	104031251	104031405	104024026	104024316
A3SS	ENSBTAG00000017437	TMEM237	chr2	-	90190902	90190970	90190902	90190959	90192766	90192798
A3SS	ENSBTAG00000017799	PITPNB	chr17	-	67311679	67311754	67311679	67311738	67312904	67312996
A3SS	ENSBTAG00000017799	PITPNB	chr17	-	67311679	67311762	67311679	67311738	67312904	67312996
A3SS	ENSBTAG00000017799	PITPNB	chr17	-	67311679	67311762	67311679	67311754	67312904	67312996
A3SS	ENSBTAG00000011654	NA	chr12	+	21771894	21771986	21771906	21771986	21764642	21764748
A3SS	ENSBTAG00000018271	SLC38A10	chr19	+	51471879	51472989	51472869	51472989	51471530	51471698
A3SS	ENSBTAG00000018369	MYL2	chr17	-	54706764	54707097	54706764	54706862	54708747	54708796
A3SS	ENSBTAG00000007039	FBXO25	chr1	+	146549530	146549713	146549533	146549713	146548420	146548605
A3SS	ENSBTAG00000021687	JADE2	chr7	+	46115861	46118414	46115865	46118414	46113729	46114385
A3SS	ENSBTAG00000031351	SEC14L4	chr17	-	69459445	69459532	69459445	69459505	69459792	69459836
A3SS	ENSBTAG00000004991	ELP1	chr8	-	98474957	98475080	98474957	98475025	98479860	98480015
A3SS	ENSBTAG00000004991	ELP1	chr8	-	98504749	98504898	98504749	98504883	98505219	98505305
A3SS	ENSBTAG00000014081	NBAS	chr11	+	82807211	82807280	82807220	82807280	82800122	82800261
A3SS	ENSBTAG00000014081	NBAS	chr11	+	83038540	83038770	83038554	83038770	83029828	83029951
A3SS	ENSBTAG00000014081	NBAS	chr11	+	83077526	83077650	83077553	83077650	83077088	83077202
A3SS	ENSBTAG00000014081	NBAS	chr11	+	83194558	83194687	83194570	83194687	83188057	83188190
A3SS	ENSBTAG00000012197	AP5Z1	chr25	-	39197312	39197465	39197312	39197454	39197630	39197817
A3SS	ENSBTAG00000012197	AP5Z1	chr25	-	39197312	39197465	39197312	39197454	39197886	39198024
A3SS	ENSBTAG00000050786	NA	chr19	+	50537238	50540215	50538946	50540215	50536897	50537051
A3SS	ENSBTAG00000017478	GSDMC	chr14	-	10801937	10802082	10801937	10802077	10802921	10802948
A3SS	ENSBTAG00000003257	STK4	chr13	+	73377247	73377328	73377251	73377328	73371417	73371558
A3SS	ENSBTAG00000018430	GSAP	chr4	+	43862891	43863080	43862987	43863080	43856795	43856873
A3SS	ENSBTAG00000018430	GSAP	chr4	+	43863200	43863418	43863207	43863418	43862987	43863080
A3SS	ENSBTAG00000020848	PIK3CG	chr4	+	48002575	48002846	48002715	48002846	48001711	48001802
A3SS	ENSBTAG00000009423	NIPAL1	chr6	+	66730369	66730636	66730463	66730636	66702048	66702202
A3SS	ENSBTAG00000009423	NIPAL1	chr6	+	66730369	66730636	66730463	66730636	66716923	66717125
A3SS	ENSBTAG00000014541	PDGFA	chr25	+	42027137	42030396	42029656	42030396	42021318	42021506
A3SS	ENSBTAG00000010170	MBTPS1	chr18	-	10391298	10391429	10391298	10391410	10394492	10394619
A3SS	ENSBTAG00000007818	POFUT2	chr1	-	145090711	145090925	145090711	145090835	145091140	145091321
A3SS	ENSBTAG00000020964	STRIP1	chr3	-	33379162	33379289	33379162	33379281	33380468	33380566
A3SS	ENSBTAG00000015081	PAXX	chr11	+	106040332	106040523	106040372	106040523	106039917	106039978
A3SS	ENSBTAG00000015081	PAXX	chr11	+	106040332	106040523	106040372	106040523	106040203	106040253
A3SS	ENSBTAG00000015081	PAXX	chr11	+	106040836	106041222	106041018	106041222	106040332	106040523
A3SS	ENSBTAG00000015081	PAXX	chr11	+	106040836	106041222	106041018	106041222	106040604	106040679
A3SS	ENSBTAG00000008739	SAMD11	chr16	-	51528416	51528495	51528416	51528469	51528711	51528827
A3SS	ENSBTAG00000008963	CIT	chr17	+	55719084	55719247	55719129	55719247	55717094	55717202
A3SS	ENSBTAG00000006685	IL10	chr16	-	4550835	4552815	4550835	4551673	4553829	4553982
A3SS	ENSBTAG00000006193	IRAK2	chr22	-	16654947	16655148	16654947	16655145	16657660	16657723
A3SS	ENSBTAG00000010785	FAS	chr26	+	10692252	10692409	10692286	10692409	10678579	10678816
A3SS	ENSBTAG00000011125	MYO9B	chr7	-	5913285	5913367	5913285	5913364	5914644	5914849
A3SS	ENSBTAG00000030608	NA	chr11	+	98886159	98886305	98886183	98886305	98883624	98883686
A3SS	ENSBTAG00000030608	NA	chr11	+	98886159	98886305	98886183	98886305	98883969	98884065
A3SS	ENSBTAG00000010146	PLXNB3	chrX	+	36987935	36988080	36987950	36988080	36987447	36987515
A3SS	ENSBTAG00000002407	TDRD5	chr16	+	60863791	60864000	60863827	60864000	60862624	60862778
A3SS	ENSBTAG00000015666	NA	chr4	-	32476094	32476256	32476094	32476217	32477886	32478048
A3SS	ENSBTAG00000015666	NA	chr4	-	32507333	32507384	32507333	32507367	32518996	32519168
A3SS	ENSBTAG00000016264	FKBP8	chr7	+	4638376	4638597	4638379	4638597	4637699	4637869
A3SS	ENSBTAG00000016264	FKBP8	chr7	+	4638376	4638597	4638379	4638597	4637989	4638078
A3SS	ENSBTAG00000016999	RYK	chr1	+	135139889	135140024	135139898	135140024	135125812	135125866
A3SS	ENSBTAG00000016999	RYK	chr1	+	135139889	135140024	135139898	135140024	135136452	135136553
A3SS	ENSBTAG00000004582	COL20A1	chr13	-	54270619	54270658	54270619	54270655	54271608	54271738
A3SS	ENSBTAG00000005999	FSD1	chr7	-	19769749	19769903	19769749	19769871	19770073	19770096
A3SS	ENSBTAG00000011394	FAM214B	chr8	-	59365010	59366370	59365010	59365980	59373670	59373813
A3SS	ENSBTAG00000020132	HPF1	chr8	-	1654888	1655068	1654888	1655048	1666542	1666699
A3SS	ENSBTAG00000001450	APBB3	chr7	-	51735004	51735125	51735004	51735119	51735536	51735664
A3SS	ENSBTAG00000009535	RPS2	chr25	-	1519509	1519815	1519509	1519641	1520035	1520195
A3SS	ENSBTAG00000009535	RPS2	chr25	-	1519509	1519815	1519509	1519641	1520281	1520455
A3SS	ENSBTAG00000009535	RPS2	chr25	-	1519509	1520195	1519509	1519641	1520281	1520455
A3SS	ENSBTAG00000009535	RPS2	chr25	-	1519509	1520195	1519509	1519815	1520281	1520455
A3SS	ENSBTAG00000009535	RPS2	chr25	-	1519509	1520195	1519509	1519815	1520711	1520819
A3SS	ENSBTAG00000002721	TUT4	chr3	+	93921661	93921885	93921676	93921885	93920623	93920739
A3SS	ENSBTAG00000014343	IFT22	chr25	+	35413296	35415333	35414313	35415333	35412364	35412454
A3SS	ENSBTAG00000009145	SLC7A4	chr17	-	72373585	72374522	72373585	72373694	72374912	72376047
A3SS	ENSBTAG00000021392	DCAF11	chr10	-	21028200	21028567	21028200	21028435	21028668	21028680
A3SS	ENSBTAG00000021392	DCAF11	chr10	-	21028200	21028567	21028200	21028435	21029024	21029337
A3SS	ENSBTAG00000002411	CTNND1	chr15	+	80991284	80991974	80991707	80991974	80990409	80990526
A3SS	ENSBTAG00000007863	GLS	chr2	+	79466667	79466726	79466688	79466726	79466549	79466582
A3SS	ENSBTAG00000034189	ADH1C	chr6	+	25292587	25292857	25292596	25292857	25289791	25290011
A3SS	ENSBTAG00000054949	NA	chrNKLS02000591.1	-	19203	19551	19203	19488	20907	20941
A3SS	ENSBTAG00000002287	CHD9	chr18	+	21764382	21764546	21764385	21764546	21762306	21763215
A3SS	ENSBTAG00000019436	SLC39A13	chr15	+	77246836	77247246	77247146	77247246	77246468	77246519
A3SS	ENSBTAG00000009034	AP3D1	chr7	+	21432685	21432836	21432786	21432836	21430767	21430841
A3SS	ENSBTAG00000001754	AHCYL2	chr4	+	93284093	93284205	93284096	93284205	93142663	93143030
A3SS	ENSBTAG00000001754	AHCYL2	chr4	+	93284093	93284205	93284096	93284205	93274590	93274672
A3SS	ENSBTAG00000001754	AHCYL2	chr4	+	93284093	93284205	93284096	93284205	93280643	93280700
A3SS	ENSBTAG00000005015	SFXN3	chr26	+	21866317	21866416	21866321	21866416	21863614	21863828
A3SS	ENSBTAG00000005015	SFXN3	chr26	+	21866317	21866416	21866321	21866416	21865848	21866019
A3SS	ENSBTAG00000005015	SFXN3	chr26	+	21866317	21866416	21866321	21866416	21865848	21866023
A3SS	ENSBTAG00000018437	SMC5	chr8	+	46494099	46494254	46494105	46494254	46492157	46492413
A3SS	ENSBTAG00000026768	TH	chr29	+	49389609	49389727	49389631	49389727	49389377	49389434
A3SS	ENSBTAG00000005871	MECOM	chr1	+	98311998	98313355	98312970	98313355	98298832	98299049
A3SS	ENSBTAG00000005871	MECOM	chr1	+	98307553	98307710	98307556	98307710	98306130	98306278
A3SS	ENSBTAG00000005871	MECOM	chr1	+	98311998	98313355	98312970	98313355	98306130	98306278
A3SS	ENSBTAG00000005871	MECOM	chr1	+	98311998	98313355	98312970	98313355	98307556	98307710
A3SS	ENSBTAG00000038298	CCDC174	chr22	-	57616439	57616652	57616439	57616617	57623904	57624005
A3SS	ENSBTAG00000000571	ARHGAP27	chr19	-	45044941	45045236	45044941	45045040	45045382	45045488
A3SS	ENSBTAG00000009263	MFSD1	chr1	-	108712230	108712343	108712230	108712336	108712951	108713049
A3SS	ENSBTAG00000009263	MFSD1	chr1	-	108730181	108730234	108730181	108730230	108732290	108732991
A3SS	ENSBTAG00000016533	FOXP1	chr22	+	30669232	30669312	30669235	30669312	30658279	30658363
A3SS	ENSBTAG00000016533	FOXP1	chr22	+	30669232	30669312	30669235	30669312	30668926	30669128
A3SS	ENSBTAG00000040477	CHD5	chr16	+	47185225	47185440	47185228	47185440	47184795	47185002
A3SS	ENSBTAG00000007966	TTLL3	chr22	-	16900352	16900548	16900352	16900501	16903729	16903925
A3SS	ENSBTAG00000000080	GRWD1	chr18	+	55128479	55128677	55128498	55128677	55128169	55128312
A3SS	ENSBTAG00000012647	ERBB4	chr2	-	99227297	99227595	99227297	99227589	99259401	99259572
A3SS	ENSBTAG00000017128	NUP153	chr23	+	39770294	39770514	39770305	39770514	39755906	39756589
A3SS	ENSBTAG00000008937	CELF2	chr13	-	12883330	12883528	12883330	12883510	12888376	12888508
A3SS	ENSBTAG00000008937	CELF2	chr13	-	12883330	12883528	12883330	12883510	12888388	12888508
A3SS	ENSBTAG00000004135	LMTK2	chr25	-	37799298	37804102	37799298	37803761	37812448	37815395
A3SS	ENSBTAG00000012698	HDAC1	chr2	-	121250038	121250172	121250038	121250151	121257464	121257548
A3SS	ENSBTAG00000020378	DLG1	chr1	-	71525398	71525587	71525398	71525571	71531202	71531304
A3SS	ENSBTAG00000020378	DLG1	chr1	-	71531202	71531317	71531202	71531304	71532412	71532495
A3SS	ENSBTAG00000020378	DLG1	chr1	-	71543559	71543659	71543559	71543656	71547405	71547475
A3SS	ENSBTAG00000008288	ANKRD26	chr13	-	17669475	17669646	17669475	17669643	17671540	17671695
A3SS	ENSBTAG00000008288	ANKRD26	chr13	-	17676341	17676424	17676341	17676415	17681006	17681079
A3SS	ENSBTAG00000020582	PRSS22	chr25	+	2178875	2179481	2179309	2179481	2178122	2178311
A3SS	ENSBTAG00000002764	IGFLR1	chr18	-	46454696	46455084	46454696	46455081	46455399	46455584
A3SS	ENSBTAG00000038992	STK11IP	chr2	+	107525115	107525286	107525178	107525286	107524352	107524427
A3SS	ENSBTAG00000007870	FKBP14	chr4	+	66334262	66334424	66334313	66334424	66332074	66332226
A3SS	ENSBTAG00000020404	FTCD	chr1	-	145852385	145852547	145852385	145852496	145852652	145852782
A3SS	ENSBTAG00000015314	ASL	chr25	-	27998416	27998557	27998416	27998471	27998673	27998697
A3SS	ENSBTAG00000008470	MPHOSPH9	chr17	+	52338386	52338540	52338430	52338540	52336079	52336342
A3SS	ENSBTAG00000007236	PCM1	chr27	-	19264541	19264667	19264541	19264652	19264758	19264851
A3SS	ENSBTAG00000007236	PCM1	chr27	-	19266386	19266643	19266386	19266617	19269565	19269726
A3SS	ENSBTAG00000007236	PCM1	chr27	-	19287106	19287144	19287106	19287123	19291842	19292011
A3SS	ENSBTAG00000007236	PCM1	chr27	-	19300941	19301300	19300941	19301261	19303746	19303918
A3SS	ENSBTAG00000007236	PCM1	chr27	-	19316956	19317192	19316956	19317168	19317313	19317471
A3SS	ENSBTAG00000007236	PCM1	chr27	-	19316956	19317195	19316956	19317168	19317313	19317471
A3SS	ENSBTAG00000007236	PCM1	chr27	-	19316956	19317195	19316956	19317192	19317313	19317471
A3SS	ENSBTAG00000007236	PCM1	chr27	-	19319285	19319487	19319285	19319472	19321723	19321940
A3SS	ENSBTAG00000021039	HNRNPM	chr7	+	17077062	17077254	17077218	17077254	17075890	17075984
A3SS	ENSBTAG00000053745	NA	chrNKLS02000412.1	-	37294	37369	37294	37360	49474	50015
A3SS	ENSBTAG00000053745	NA	chrNKLS02000412.1	-	78004	78147	78004	78138	275766	276373
A3SS	ENSBTAG00000003614	AP4B1	chr3	+	29487098	29487296	29487192	29487296	29485649	29485733
A3SS	ENSBTAG00000005947	PLAU	chr28	+	29797922	29799836	29798713	29799836	29797436	29797577
A3SS	ENSBTAG00000048367	NA	chr9	+	96635808	96636779	96636640	96636779	96631665	96631783
A3SS	ENSBTAG00000006748	DMXL1	chr7	-	34699954	34701048	34699954	34700634	34702242	34702504
A3SS	ENSBTAG00000006748	DMXL1	chr7	-	34713478	34713598	34713478	34713594	34714705	34714808
A3SS	ENSBTAG00000006748	DMXL1	chr7	-	34718548	34718802	34718548	34718800	34720215	34720428
A3SS	ENSBTAG00000011727	ETAA1	chr11	+	65844954	65846996	65846891	65846996	65844591	65844704
A3SS	ENSBTAG00000003279	NDUFA10	chr3	-	118906763	118906874	118906763	118906849	118910910	118910990
A3SS	ENSBTAG00000002995	GMPPA	chr2	+	107435480	107435623	107435530	107435623	107435011	107435109
A3SS	ENSBTAG00000002995	GMPPA	chr2	+	107435530	107435902	107435733	107435902	107435275	107435322
A3SS	ENSBTAG00000039122	PLA2G5	chr2	-	132644540	132645925	132644540	132645116	132648875	132649020
A3SS	ENSBTAG00000019685	BAG6	chr23	+	27648670	27648745	27648672	27648745	27648452	27648506
A3SS	ENSBTAG00000018749	NUDT16	chr1	-	138547390	138550165	138547390	138549183	138550259	138550417
A3SS	ENSBTAG00000017222	CTNND2	chr20	+	61899060	61899382	61899126	61899382	61883321	61883462
A3SS	ENSBTAG00000017222	CTNND2	chr20	+	61899060	61899382	61899126	61899382	61883321	61883516
A3SS	ENSBTAG00000017222	CTNND2	chr20	+	62028593	62028777	62028644	62028777	61899126	61899382
A3SS	ENSBTAG00000002002	ATAD2	chr14	+	16495839	16496079	16495892	16496079	16495227	16495304
