Category	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
RI	ENSBTAG00000053667	NA	chr25	+	2416357	2416808	2416357	2416411	2416640	2416808
RI	ENSBTAG00000020446	THOP1	chr7	-	20890819	20891487	20890819	20891021	20891120	20891487
RI	ENSBTAG00000045905	PCDH15	chr26	+	5545422	5546812	5545422	5546325	5546358	5546812
RI	ENSBTAG00000002763	KMT2B	chr18	+	46435320	46437323	46435320	46435515	46435659	46437323
RI	ENSBTAG00000052950	SYNDIG1L	chr10	-	85710785	85712772	85710785	85712492	85712631	85712772
RI	ENSBTAG00000052950	SYNDIG1L	chr10	-	85714654	85715491	85714654	85715151	85715332	85715491
RI	ENSBTAG00000007102	GTSE1	chr5	+	116612063	116612662	116612063	116612126	116612577	116612662
RI	ENSBTAG00000007102	GTSE1	chr5	+	116630348	116631552	116630348	116630561	116631011	116631552
RI	ENSBTAG00000010777	CARS1	chr29	+	48610710	48611368	48610710	48610791	48611300	48611368
RI	ENSBTAG00000020413	APBA2	chr21	+	28083646	28083832	28083646	28083826	28083828	28083832
RI	ENSBTAG00000002849	IRF6	chr16	+	73512273	73512401	73512273	73512380	73512382	73512401
RI	ENSBTAG00000002559	MIOX	chr5	+	119795391	119795593	119795391	119795459	119795543	119795593
RI	ENSBTAG00000005780	LDB1	chr26	-	22781123	22781271	22781123	22781178	22781225	22781271
RI	ENSBTAG00000001842	GSTM3	chr3	+	33652465	33653064	33652465	33652600	33652988	33653064
RI	ENSBTAG00000020387	MARF1	chr25	-	14076115	14076799	14076115	14076382	14076649	14076799
RI	ENSBTAG00000014762	ISG20	chr21	+	19607425	19608257	19607425	19607710	19608005	19608257
RI	ENSBTAG00000046607	JMJD7	chr10	+	37225896	37226379	37225896	37226050	37226125	37226379
RI	ENSBTAG00000015710	CD3E	chr15	+	29004370	29004846	29004370	29004625	29004737	29004846
RI	ENSBTAG00000015710	CD3E	chr15	+	29013230	29015210	29013230	29013398	29014528	29015210
RI	ENSBTAG00000003410	EFL1	chr21	-	24054074	24055053	24054074	24054184	24054312	24055053
RI	ENSBTAG00000023032	SFTPA1	chr28	-	35648908	35650079	35648908	35649103	35649914	35650079
RI	ENSBTAG00000009512	EPS8L1	chr18	-	62317404	62317833	62317404	62317493	62317706	62317833
RI	ENSBTAG00000015183	TPCN2	chr29	+	46386704	46387613	46386704	46386769	46387536	46387613
RI	ENSBTAG00000015183	TPCN2	chr29	+	46398664	46399001	46398664	46398746	46398914	46399001
RI	ENSBTAG00000032709	CMTM5	chr10	-	21544612	21545001	21544612	21544697	21544908	21545001
RI	ENSBTAG00000030839	PWWP3A	chr7	+	43791938	43792631	43791938	43792355	43792520	43792631
RI	ENSBTAG00000011178	IL17RB	chr22	-	47063566	47064410	47063566	47063707	47064385	47064410
RI	ENSBTAG00000054148	NA	chr25	+	2533791	2534032	2533791	2533868	2533997	2534032
RI	ENSBTAG00000012644	UROD	chr3	-	101036665	101037592	101036665	101036778	101037453	101037592
RI	ENSBTAG00000020444	MAST2	chr3	-	100075375	100075953	100075375	100075573	100075672	100075953
RI	ENSBTAG00000007117	CTC1	chr19	-	27852910	27853776	27852910	27853495	27853649	27853776
RI	ENSBTAG00000007117	CTC1	chr19	-	27852910	27854037	27852910	27853495	27853871	27854037
RI	ENSBTAG00000007117	CTC1	chr19	-	27852910	27854037	27852910	27853776	27853871	27854037
RI	ENSBTAG00000020238	RIMS1	chr9	+	11453685	11454533	11453685	11453922	11454450	11454533
RI	ENSBTAG00000019972	TEPSIN	chr19	+	51488066	51488559	51488066	51488134	51488286	51488559
RI	ENSBTAG00000019972	TEPSIN	chr19	+	51488066	51488559	51488066	51488134	51488487	51488559
RI	ENSBTAG00000019972	TEPSIN	chr19	+	51488286	51488559	51488286	51488365	51488487	51488559
RI	ENSBTAG00000013636	DGKZ	chr15	+	76370064	76370292	76370064	76370134	76370251	76370292
RI	ENSBTAG00000054982	NA	chr19	-	50926059	50926406	50926059	50926213	50926308	50926406
RI	ENSBTAG00000006619	MATK	chr7	+	20195607	20196488	20195607	20195718	20196428	20196488
RI	ENSBTAG00000018316	ZMYND15	chr19	-	26613197	26613678	26613197	26613353	26613443	26613678
RI	ENSBTAG00000048511	NA	chr18	+	53132123	53132378	53132123	53132252	53132324	53132378
RI	ENSBTAG00000017755	EWSR1	chr17	+	68578169	68579067	68578169	68578422	68578679	68579067
RI	ENSBTAG00000025516	GNL1	chr23	+	28422217	28422354	28422217	28422299	28422344	28422354
RI	ENSBTAG00000004949	FDXACB1	chr15	-	22227231	22228068	22227231	22227388	22227846	22228068
RI	ENSBTAG00000049520	NA	chr13	+	37756115	37756353	37756115	37756173	37756203	37756353
RI	ENSBTAG00000010361	DLL4	chr10	+	36464519	36465397	36464519	36465023	36465127	36465397
RI	ENSBTAG00000027409	SLC4A11	chr13	+	51985947	51986307	51985947	51986117	51986243	51986307
RI	ENSBTAG00000013755	ITGB5	chr1	-	69227336	69227766	69227336	69227539	69227644	69227766
RI	ENSBTAG00000015026	ABL2	chr16	-	60462908	60464632	60462908	60464089	60464398	60464632
RI	ENSBTAG00000018570	SDR16C5	chr14	-	23428403	23428789	23428403	23428667	23428757	23428789
RI	ENSBTAG00000002471	CHL1	chr22	-	25984690	25986034	25984690	25985600	25985936	25986034
RI	ENSBTAG00000002596	VSTM1	chr18	-	61702199	61702420	61702199	61702227	61702327	61702420
RI	ENSBTAG00000004995	C1GALT1	chr4	+	15276631	15277438	15276631	15276888	15277162	15277438
RI	ENSBTAG00000018729	SPEN	chr16	-	51636383	51639180	51636383	51638149	51638218	51639180
RI	ENSBTAG00000011019	NA	chr29	+	41932128	41932878	41932128	41932236	41932632	41932878
RI	ENSBTAG00000018271	SLC38A10	chr19	+	51471879	51472989	51471879	51472332	51472869	51472989
RI	ENSBTAG00000018369	MYL2	chr17	-	54706764	54707097	54706764	54706862	54706979	54707097
RI	ENSBTAG00000021687	JADE2	chr7	+	46113729	46118414	46113729	46114385	46115861	46118414
RI	ENSBTAG00000021687	JADE2	chr7	+	46113729	46118414	46113729	46114385	46115865	46118414
RI	ENSBTAG00000021447	SIM2	chr1	+	149023983	149024429	149023983	149024289	149024328	149024429
RI	ENSBTAG00000006835	MCAM	chr15	-	29890199	29890850	29890199	29890362	29890670	29890850
RI	ENSBTAG00000012197	AP5Z1	chr25	-	39207114	39207833	39207114	39207236	39207656	39207833
RI	ENSBTAG00000017215	WDR76	chr21	+	55436456	55436867	55436456	55436558	55436772	55436867
RI	ENSBTAG00000017215	WDR76	chr21	+	55487293	55488834	55487293	55487511	55488607	55488834
RI	ENSBTAG00000014541	PDGFA	chr25	+	42027137	42030396	42027137	42027264	42029656	42030396
RI	ENSBTAG00000014948	NUTM1	chr10	-	28287798	28289808	28287798	28288429	28289665	28289808
RI	ENSBTAG00000015081	PAXX	chr11	+	106040836	106041222	106040836	106040921	106041018	106041222
RI	ENSBTAG00000018258	SRSF2	chr19	+	55044157	55045592	55044157	55044468	55045484	55045592
RI	ENSBTAG00000000526	TOPBP1	chr1	+	135753513	135754448	135753513	135753698	135754357	135754448
RI	ENSBTAG00000000526	TOPBP1	chr1	+	135823692	135824423	135823692	135823832	135824266	135824423
RI	ENSBTAG00000014138	MTM1	chrX	+	33358523	33359619	33358523	33358733	33359419	33359619
RI	ENSBTAG00000006685	IL10	chr16	-	4550835	4552815	4550835	4551673	4552749	4552815
RI	ENSBTAG00000012808	MASP2	chr16	+	42581909	42582272	42581909	42581960	42582043	42582272
RI	ENSBTAG00000012808	MASP2	chr16	+	42582043	42582569	42582043	42582272	42582391	42582569
RI	ENSBTAG00000011125	MYO9B	chr7	-	5883220	5884878	5883220	5884630	5884750	5884878
RI	ENSBTAG00000024552	SHH	chr4	-	117486088	117486912	117486088	117486545	117486623	117486912
RI	ENSBTAG00000051248	NA	chr4	+	76548196	76548652	76548196	76548346	76548457	76548652
RI	ENSBTAG00000003576	POLL	chr26	-	22331379	22331697	22331379	22331498	22331591	22331697
RI	ENSBTAG00000008877	APBA1	chr8	-	45576613	45581206	45576613	45580329	45581065	45581206
RI	ENSBTAG00000002706	GSTZ1	chr10	+	88530980	88531769	88530980	88531169	88531688	88531769
RI	ENSBTAG00000016264	FKBP8	chr7	+	4642174	4643275	4642174	4642306	4642740	4643275
RI	ENSBTAG00000004877	TRAIP	chr22	+	50415591	50416060	50415591	50415640	50415910	50416060
RI	ENSBTAG00000011394	FAM214B	chr8	-	59365010	59366370	59365010	59365980	59366226	59366370
RI	ENSBTAG00000000943	ZNF286A	chr19	+	33071704	33072239	33071704	33071749	33072028	33072239
RI	ENSBTAG00000010236	CIDEB	chr10	+	20863022	20864189	20863022	20863167	20864039	20864189
RI	ENSBTAG00000001867	SACS	chr12	+	34636782	34637643	34636782	34636868	34637531	34637643
RI	ENSBTAG00000018647	SLC2A11	chr17	+	71281216	71281960	71281216	71281346	71281811	71281960
RI	ENSBTAG00000018647	SLC2A11	chr17	+	71282891	71283303	71282891	71283079	71283192	71283303
RI	ENSBTAG00000018647	SLC2A11	chr17	+	71284298	71285172	71284298	71284426	71284668	71285172
RI	ENSBTAG00000009872	SPHK2	chr18	+	55266862	55267481	55266862	55266886	55267410	55267481
RI	ENSBTAG00000031252	CD82	chr15	+	74684375	74684721	74684375	74684500	74684646	74684721
RI	ENSBTAG00000009535	RPS2	chr25	-	1519509	1519815	1519509	1519641	1519723	1519815
RI	ENSBTAG00000009535	RPS2	chr25	-	1519509	1520195	1519509	1519641	1520035	1520195
RI	ENSBTAG00000009535	RPS2	chr25	-	1519509	1520195	1519509	1519815	1520035	1520195
RI	ENSBTAG00000009535	RPS2	chr25	-	1521340	1522512	1521340	1521520	1521683	1522512
RI	ENSBTAG00000002721	TUT4	chr3	+	93925494	93925942	93925494	93925638	93925731	93925942
RI	ENSBTAG00000014343	IFT22	chr25	+	35413296	35415333	35413296	35413499	35414313	35415333
RI	ENSBTAG00000009145	SLC7A4	chr17	-	72373585	72374522	72373585	72373694	72373887	72374522
RI	ENSBTAG00000007002	IDUA	chr6	-	117377245	117377593	117377245	117377353	117377507	117377593
RI	ENSBTAG00000007887	GRIN2A	chr25	-	8496961	8498761	8496961	8497097	8497130	8498761
RI	ENSBTAG00000005630	VWA7	chr23	+	27554871	27555831	27554871	27555046	27555148	27555831
RI	ENSBTAG00000027274	NA	chr19	-	45165120	45167701	45165120	45165500	45165893	45167701
RI	ENSBTAG00000002411	CTNND1	chr15	+	80991284	80991974	80991284	80991433	80991707	80991974
RI	ENSBTAG00000002411	CTNND1	chr15	+	80998917	80999381	80998917	80999158	80999284	80999381
RI	ENSBTAG00000019436	SLC39A13	chr15	+	77246836	77247246	77246836	77246969	77247146	77247246
RI	ENSBTAG00000001600	DCUN1D4	chr6	+	67785288	67787380	67785288	67785391	67785502	67787380
RI	ENSBTAG00000050510	NA	chr18	-	57624025	57625017	57624025	57624415	57624511	57625017
RI	ENSBTAG00000019082	RAD51D	chr19	+	14978194	14978841	14978194	14978503	14978779	14978841
RI	ENSBTAG00000018451	PTMS	chr5	-	103675020	103675350	103675020	103675099	103675278	103675350
RI	ENSBTAG00000022813	TMEM150B	chr18	+	62159119	62160026	62159119	62159562	62159895	62160026
RI	ENSBTAG00000022813	TMEM150B	chr18	+	62159119	62160026	62159119	62159591	62159895	62160026
RI	ENSBTAG00000019138	KIF3C	chr11	+	73492613	73495508	73492613	73492786	73493023	73495508
RI	ENSBTAG00000025589	CDKAL1	chr23	-	37443875	37444814	37443875	37443919	37444739	37444814
RI	ENSBTAG00000000571	ARHGAP27	chr19	-	45044941	45045236	45044941	45045040	45045113	45045236
RI	ENSBTAG00000001131	SLC12A9	chr25	-	35796209	35797279	35796209	35796518	35797147	35797279
RI	ENSBTAG00000013096	UNC119	chr19	-	20014884	20015204	20014884	20014939	20015008	20015204
RI	ENSBTAG00000007966	TTLL3	chr22	-	16889281	16890633	16889281	16889508	16890460	16890633
RI	ENSBTAG00000007966	TTLL3	chr22	-	16895338	16895774	16895338	16895376	16895377	16895774
RI	ENSBTAG00000019246	SC5D	chr15	+	31885966	31887060	31885966	31886095	31886173	31887060
RI	ENSBTAG00000006870	RASGEF1A	chr28	-	13595586	13595853	13595586	13595666	13595750	13595853
RI	ENSBTAG00000005083	TULP4	chr9	+	94956579	94959101	94956579	94957431	94957695	94959101
RI	ENSBTAG00000004135	LMTK2	chr25	-	37799298	37803761	37799298	37802739	37803521	37803761
RI	ENSBTAG00000004135	LMTK2	chr25	-	37799298	37804102	37799298	37803761	37803969	37804102
RI	ENSBTAG00000054414	NA	chrNKLS02002208.1	+	1753835	1755267	1753835	1754651	1754711	1755267
RI	ENSBTAG00000020582	PRSS22	chr25	+	2178875	2179481	2178875	2178902	2179309	2179481
RI	ENSBTAG00000050239	CASP1	chr15	+	3233111	3233907	3233111	3233421	3233640	3233907
RI	ENSBTAG00000020404	FTCD	chr1	-	145860629	145861634	145860629	145860718	145861505	145861634
RI	ENSBTAG00000024869	CX3CL1	chr18	+	25392083	25395288	25392083	25392642	25392747	25395288
RI	ENSBTAG00000046193	NA	chr23	+	4255746	4256036	4255746	4255893	4255981	4256036
RI	ENSBTAG00000021039	HNRNPM	chr7	+	17077062	17077254	17077062	17077101	17077218	17077254
RI	ENSBTAG00000006574	ARL8A	chr16	+	80435858	80436465	80435858	80435929	80436215	80436465
RI	ENSBTAG00000005947	PLAU	chr28	+	29797922	29799836	29797922	29798071	29798713	29799836
RI	ENSBTAG00000048367	NA	chr9	+	96636640	96638016	96636640	96636779	96636979	96638016
RI	ENSBTAG00000006748	DMXL1	chr7	-	34699954	34701048	34699954	34700632	34700704	34701048
RI	ENSBTAG00000006748	DMXL1	chr7	-	34699954	34701048	34699954	34700634	34700757	34701048
RI	ENSBTAG00000006748	DMXL1	chr7	-	34708633	34710319	34708633	34709390	34709483	34710319
RI	ENSBTAG00000011727	ETAA1	chr11	+	65844954	65846996	65844954	65846759	65846891	65846996
RI	ENSBTAG00000000042	PYCR1	chr19	+	50957968	50958599	50957968	50958062	50958486	50958599
RI	ENSBTAG00000000042	PYCR1	chr19	+	50957968	50958911	50957968	50958599	50958840	50958911
RI	ENSBTAG00000024379	LRRC17	chr4	+	44279002	44279731	44279002	44279376	44279498	44279731
RI	ENSBTAG00000039993	CD1D	chr3	-	11914669	11917268	11914669	11916035	11916989	11917268
RI	ENSBTAG00000002995	GMPPA	chr2	+	107435530	107435902	107435530	107435623	107435733	107435902
RI	ENSBTAG00000027974	NA	chr5	+	27188572	27189196	27188572	27188972	27189041	27189196
RI	ENSBTAG00000013175	GARRE1	chr18	+	44723273	44724562	44723273	44723516	44723960	44724562
RI	ENSBTAG00000010253	SYTL1	chr2	-	125937591	125937971	125937591	125937705	125937867	125937971
RI	ENSBTAG00000016469	TNKS1BP1	chr15	-	80514010	80515684	80514010	80514553	80514931	80515684
RI	ENSBTAG00000039122	PLA2G5	chr2	-	132644540	132645925	132644540	132645116	132645818	132645925
RI	ENSBTAG00000005859	LALBA	chr5	+	31212287	31213145	31212287	31212362	31212852	31213145
RI	ENSBTAG00000021072	DTNB	chr11	+	73934314	73934889	73934314	73934404	73934527	73934889
RI	ENSBTAG00000018749	NUDT16	chr1	-	138547390	138550165	138547390	138549183	138549895	138550165
RI	ENSBTAG00000053546	PCDHAC2	chr7	+	52102417	52103881	52102417	52102519	52102959	52103881
RI	ENSBTAG00000014515	RFC1	chr6	-	58447707	58448107	58447707	58447892	58448009	58448107
RI	ENSBTAG00000009330	SIN3B	chr7	-	6224082	6224656	6224082	6224189	6224430	6224656
RI	ENSBTAG00000007652	RFTN2	chr2	-	86177559	86178287	86177559	86177764	86178137	86178287
RI	ENSBTAG00000000406	GPATCH4	chr3	+	14232917	14234036	14232917	14232997	14233958	14234036
RI	ENSBTAG00000004173	UBXN8	chr27	+	26866818	26867781	26866818	26867338	26867638	26867781
RI	ENSBTAG00000016208	TGM2	chr13	-	67002551	67005258	67002551	67004452	67005121	67005258
RI	ENSBTAG00000001396	ADAMTS7	chr21	+	30362363	30363761	30362363	30363343	30363559	30363761
RI	ENSBTAG00000026796	NA	chr15	+	51510993	51511749	51510993	51511356	51511558	51511749
RI	ENSBTAG00000053918	SPCS1	chr22	-	48156507	48157947	48156507	48156641	48156740	48157947
RI	ENSBTAG00000017956	KCTD15	chr18	+	44207909	44208822	44207909	44208002	44208646	44208822
RI	ENSBTAG00000008419	PDE2A	chr15	-	52140734	52140976	52140734	52140798	52140936	52140976
RI	ENSBTAG00000014090	ARID5A	chr11	+	2566921	2567380	2566921	2567019	2567220	2567380
RI	ENSBTAG00000007916	FOXJ1	chr19	+	55541079	55542409	55541079	55541222	55541743	55542409
RI	ENSBTAG00000022799	NOTCH1	chr11	-	103935363	103937116	103935363	103936834	103936942	103937116
RI	ENSBTAG00000014554	SNAI1	chr13	+	78036326	78037857	78036326	78036614	78037329	78037857
RI	ENSBTAG00000010732	MMP23	chr16	-	51005327	51005685	51005327	51005467	51005548	51005685
RI	ENSBTAG00000009806	INVS	chr8	+	65260596	65261314	65260596	65260707	65261217	65261314
RI	ENSBTAG00000001737	TUT7	chr8	-	79476252	79476733	79476252	79476316	79476656	79476733
RI	ENSBTAG00000009855	FAN1	chr21	+	27412383	27414589	27412383	27412571	27413042	27414589
RI	ENSBTAG00000013197	PSEN2	chr16	+	29870205	29872546	29870205	29870324	29871819	29872546
RI	ENSBTAG00000008570	RPS14	chr7	-	61774351	61775474	61774351	61774485	61775397	61775474
RI	ENSBTAG00000016776	BAHCC1	chr19	-	51319826	51320038	51319826	51319859	51319907	51320038
RI	ENSBTAG00000016827	RGL2	chr23	-	7469351	7469603	7469351	7469390	7469483	7469603
RI	ENSBTAG00000025622	DEF6	chr23	+	9298046	9298630	9298046	9298199	9298299	9298630
RI	ENSBTAG00000011088	SLC6A6	chr22	-	57854882	57855557	57854882	57855090	57855519	57855557
RI	ENSBTAG00000004361	ZBTB37	chr16	+	55238447	55239305	55238447	55238575	55239106	55239305
RI	ENSBTAG00000004282	AMBRA1	chr15	-	76525665	76527119	76525665	76526702	76526972	76527119
RI	ENSBTAG00000012178	NR1D1	chr19	-	40393396	40394107	40393396	40393485	40393765	40394107
RI	ENSBTAG00000052083	METTL21A	chr2	-	95917767	95919009	95917767	95917946	95918362	95919009
RI	ENSBTAG00000052083	METTL21A	chr2	-	95917767	95919009	95917767	95917946	95918604	95919009
RI	ENSBTAG00000052083	METTL21A	chr2	-	95917767	95919009	95917767	95918453	95918604	95919009
RI	ENSBTAG00000052247	TPPP	chr20	+	71484886	71488177	71484886	71485040	71485148	71488177
RI	ENSBTAG00000003801	MBD1	chr24	-	49907622	49907991	49907622	49907789	49907876	49907991
RI	ENSBTAG00000008468	AGAP3	chr4	+	113717284	113717852	113717284	113717540	113717645	113717852
RI	ENSBTAG00000027357	FGF22	chr7	+	43261193	43262337	43261193	43261297	43261394	43262337
RI	ENSBTAG00000004969	LRRC14	chr14	-	427673	428272	427673	427805	428146	428272
RI	ENSBTAG00000014380	MCM2	chr22	-	59907947	59908462	59907947	59908205	59908286	59908462
RI	ENSBTAG00000037832	ASPHD2	chr17	+	66105450	66107865	66105450	66105564	66106076	66107865
RI	ENSBTAG00000011434	NPR2	chr8	+	59956218	59957640	59956218	59957421	59957499	59957640
RI	ENSBTAG00000002299	SEL1L3	chr6	-	45254206	45254464	45254206	45254279	45254361	45254464
RI	ENSBTAG00000016343	KCNIP2	chr26	-	22554925	22555924	22554925	22554979	22555828	22555924
RI	ENSBTAG00000016313	ECH1	chr18	-	48544350	48545546	48544350	48544549	48545424	48545546
RI	ENSBTAG00000009974	TSNARE1	chr14	+	1944635	1946103	1944635	1944785	1945635	1946103
RI	ENSBTAG00000017253	MECR	chr2	+	124361820	124363289	124361820	124361923	124363215	124363289
RI	ENSBTAG00000006089	C19H17orf80	chr19	-	58084840	58086252	58084840	58084998	58086147	58086252
RI	ENSBTAG00000006089	C19H17orf80	chr19	-	58094812	58095624	58094812	58094923	58095030	58095624
RI	ENSBTAG00000021709	SPI1	chr15	-	77200843	77202368	77200843	77201860	77202208	77202368
RI	ENSBTAG00000019712	ST14	chr29	+	36373057	36373185	36373057	36373071	36373113	36373185
RI	ENSBTAG00000019757	SUDS3	chr17	-	56835070	56838530	56835070	56838117	56838444	56838530
RI	ENSBTAG00000003358	MCFD2	chr11	-	29360269	29362097	29360269	29360598	29361937	29362097
RI	ENSBTAG00000021058	DDX42	chr19	+	48067723	48068452	48067723	48068102	48068135	48068452
RI	ENSBTAG00000048908	NA	chr24	+	33286813	33287553	33286813	33287189	33287414	33287553
RI	ENSBTAG00000005633	ARHGEF28	chr20	-	7717696	7717997	7717696	7717783	7717888	7717997
RI	ENSBTAG00000039593	FAM98C	chr18	+	48210416	48210778	48210416	48210565	48210643	48210778
RI	ENSBTAG00000013669	KIF22	chr25	-	26445149	26445522	26445149	26445304	26445394	26445522
RI	ENSBTAG00000001415	THOC6	chr25	+	2442629	2442900	2442629	2442733	2442862	2442900
RI	ENSBTAG00000001415	THOC6	chr25	+	2443305	2443542	2443305	2443408	2443492	2443542
RI	ENSBTAG00000001415	THOC6	chr25	+	2443990	2444374	2443990	2444125	2444204	2444374
RI	ENSBTAG00000004261	SPON2	chr6	+	117255282	117256856	117255282	117255457	117256539	117256856
RI	ENSBTAG00000015285	RPS8	chr3	-	101234565	101235265	101234565	101234672	101235086	101235265
RI	ENSBTAG00000004802	CEP170B	chr21	+	69322809	69323725	69322809	69322888	69323666	69323725
RI	ENSBTAG00000010737	CDK11B	chr16	+	50986104	50987137	50986104	50986228	50986302	50987137
RI	ENSBTAG00000010737	CDK11B	chr16	+	50986104	50987137	50986104	50986228	50987021	50987137
RI	ENSBTAG00000010138	SEMA3B	chr22	-	50092760	50093377	50092760	50092882	50093291	50093377
RI	ENSBTAG00000005503	PRMT2	chr1	+	146339306	146339482	146339306	146339432	146339433	146339482
RI	ENSBTAG00000006377	MYO1G	chr4	+	76631674	76633185	76631674	76631788	76632955	76633185
